Emotion,Text
fear,During labour when the foetal sounds became faint and there was a  big alert for a forceps delivery.     
anger,"At a cash desk where I had gone to buy 16 rolls of kitchen paper  at a reduced price.  After queuing with screaming children; it  turned out that I had taken two 8 roll packets instead of the one  16 roll packet to which the rebate applied.  The assistant said  \You will have to get it another time.\""""     "
sadness,When I first heard that Tage Dannielsson had died.     
disgust,The lift of Stockholm central station stank of vomit and urine.     
shame,On the train a drunk person touched my baby and I reacted very  disapprovingly.  I felt ashamed later as the person had not been  aggressive though he could have been.     
guilt,I get irritated with my son when he screams or is sick all over  his clean clothes.     
joy,The high school entrance exam.     
fear,"A gang of screaming and drunk youths \captured\"" a tram.""     "
anger,An unjust refree decision at a sports event when I was the team  leader.     
sadness,When my girlfriend left me.     
disgust,I was dominated by a certain person and even though I knew it I  could not change my own reactions.     
shame,When I was given detention at secondary school.     
guilt,When I splashed a child by not slowing down while driving  through a puddle of water.     
joy,Yesterday     
fear,I was teaching someone to drive and when we were about to crash I  was scared.     
anger,A drummer who had borrowed my drums destroyed both the drumskin  and the sticks.  He did not repair them nor did he tell me about  it.     
sadness,When my dad gives priority to my kid brother's band and his  other activities.  We both play in different bands and rehearse  in my parents garage.     
disgust,A friend unjustly put the blame on me to relieve his conscience  and also spread lies for the same purpose.     
shame,My behaviour at a recent party.  I passed out early     
guilt,When I was face to face with my deceived friend after sleeping  with his wife.     
joy,When I dived among sharks and the brightly coloured fish on the  outer reef of Tvavni     
fear,When I missed crashing     
anger,When I told off a computer teacher who did not want to teach me  beacause of prejudice.     
sadness,When I could not do anything because of a bad back.     
disgust,When I discovered that the house we had hired in Tonga was full  of cockroaches.     
